Heya, squirt! You doing okay?|||Neutral Happy
Yeah, it feels pretty crazy, huh? It’s okay, though! You’ve made it through the worst part. |||Confused
All you gotta do now is sit tight and wait for Athena to prove that you didn’t do it! ||| Cocky
I’m glad you’ve all come out to support Scootaloo and Turning!||| Cocky
!?|||Shocked
Yeah! How did you know about that!?|||Shocked
What are you hiding from us, Sweetie Belle!?|||Furious
No! She’s clearly keeping quiet about something, and if it can help Scootaloo, then she needs to tell us!|||Furious
I don’t buy it… Look at her - she’s shaking like a leaf! I think she’s still hiding something! |||Angry
Now tell us what happened! You followed them there, didn’t you?!|||Furious
Rrgh… |||Confused
